country	continent	intercept	slope	residual
Gambia	Africa	28.4003717948718	0.581825874125873	1.14756100157291
Guinea	Africa	31.5569871794872	0.424830769230769	1.19589356892875
Mauritius	Africa	55.3707692307692	0.348453846153846	1.74021417890486
Reunion	Africa	53.9975384615385	0.459880419580419	1.62951597504813
Sierra Leone	Africa	30.8832051282051	0.214034965034965	0.824449955790968
Zimbabwe	Africa	55.2212435897436	-0.0930209790209794	7.20543069561591
Afghanistan	Asia	29.9072948717949	0.275328671328671	1.22278798153463
Hong Kong, China	Asia	63.428641025641	0.365970629370629	1.16790969611312
Israel	Asia	66.3004102564103	0.267106293706294	0.36574010923855
Japan	Asia	65.1220512820513	0.352904195804195	1.36919363509072
Nepal	Asia	34.431641025641	0.529261538461538	0.924260089379889
Yemen, Rep.	Asia	30.1302820512821	0.60545944055944	1.58579804154085
Bolivia	Americas	38.7564487179487	0.499932167832167	1.18444486859314
Canada	Americas	68.8838461538462	0.21886923076923	0.249248292949942
Guatemala	Americas	42.1193974358974	0.531273426573426	0.581178943372102
Haiti	Americas	39.2461538461539	0.397058041958042	0.840765734690324
Puerto Rico	Americas	66.9485256410257	0.210574825174825	1.26871838486451
United States	Americas	68.4138461538462	0.184169230769231	0.416133946630722
Albania	Europe	59.2291282051282	0.334683216783216	1.9830615260166
Bosnia and Herzegovina	Europe	58.0895641025641	0.349755244755244	2.25666509490946
Iceland	Europe	71.9635897435898	0.165375524475524	0.546807166655522
Netherlands	Europe	71.8896153846154	0.136686713286713	0.347760135564895
Norway	Europe	72.2146153846154	0.131941258741258	0.489679044307153
Turkey	Europe	46.0223205128205	0.49723986013986	1.14706605026026
